"Filename","New_Process_Name"
"rekeywiz.exe","c:\windows\syswow64\rekeywiz.exe"
"relog.exe","c:\windows\syswow64\relog.exe"
"rendom.exe","c:\windows\syswow64\rendom.exe"
"repadmin.exe","c:\windows\syswow64\repadmin.exe"
"replace.exe","c:\windows\syswow64\replace.exe"
"reset.exe","c:\windows\syswow64\reset.exe"
"resmon.exe","c:\windows\syswow64\resmon.exe"
"rmactivate.exe","c:\windows\syswow64\rmactivate.exe"
"rmactivate_isv.exe","c:\windows\syswow64\rmactivate_isv.exe"
"rmactivate_ssp.exe","c:\windows\syswow64\rmactivate_ssp.exe"
"rmactivate_ssp_isv.exe","c:\windows\syswow64\rmactivate_ssp_isv.exe"
"rmclient.exe","c:\windows\syswow64\rmclient.exe"
"robocopy.exe","c:\windows\syswow64\robocopy.exe"
"route.exe","c:\windows\syswow64\route.exe"
"rpcping.exe","c:\windows\syswow64\rpcping.exe"
"rsopprov.exe","c:\windows\syswow64\rsopprov.exe"
"runas.exe","c:\windows\syswow64\runas.exe"
"rundll32.exe","c:\windows\syswow64\rundll32.exe"
"runlegacycplelevated.exe","c:\windows\syswow64\runlegacycplelevated.exe"
"runonce.exe","c:\windows\syswow64\runonce.exe"
"rwinsta.exe","c:\windows\syswow64\rwinsta.exe"
"sc.exe","c:\windows\syswow64\sc.exe"
"schtasks.exe","c:\windows\syswow64\schtasks.exe"
"sdbinst.exe","c:\windows\syswow64\sdbinst.exe"
"sdiagnhost.exe","c:\windows\syswow64\sdiagnhost.exe"
"secedit.exe","c:\windows\syswow64\secedit.exe"
"sethc.exe","c:\windows\syswow64\sethc.exe"
"setspn.exe","c:\windows\syswow64\setspn.exe"
"setup16.exe","c:\windows\syswow64\setup16.exe"
"setupugc.exe","c:\windows\syswow64\setupugc.exe"
"setx.exe","c:\windows\syswow64\setx.exe"
"sfc.exe","c:\windows\syswow64\sfc.exe"
"shrpubw.exe","c:\windows\syswow64\shrpubw.exe"
"shutdown.exe","c:\windows\syswow64\shutdown.exe"
"smartscreensettings.exe","c:\windows\syswow64\smartscreensettings.exe"
"sndvol.exe","c:\windows\syswow64\sndvol.exe"
"sort.exe","c:\windows\syswow64\sort.exe"
"subst.exe","c:\windows\syswow64\subst.exe"
"svchost.exe","c:\windows\syswow64\svchost.exe"
"sxstrace.exe","c:\windows\syswow64\sxstrace.exe"
"synchost.exe","c:\windows\syswow64\synchost.exe"
"syskey.exe","c:\windows\syswow64\syskey.exe"
"systeminfo.exe","c:\windows\syswow64\systeminfo.exe"
"systempropertiesadvanced.exe","c:\windows\syswow64\systempropertiesadvanced.exe"
"systempropertiescomputername.exe","c:\windows\syswow64\systempropertiescomputername.exe"
"systempropertiesdataexecutionprevention.exe","c:\windows\syswow64\systempropertiesdataexecutionprevention.exe"
"systempropertieshardware.exe","c:\windows\syswow64\systempropertieshardware.exe"
"systempropertiesperformance.exe","c:\windows\syswow64\systempropertiesperformance.exe"
"systempropertiesprotection.exe","c:\windows\syswow64\systempropertiesprotection.exe"
"systempropertiesremote.exe","c:\windows\syswow64\systempropertiesremote.exe"
"systray.exe","c:\windows\syswow64\systray.exe"
"takeown.exe","c:\windows\syswow64\takeown.exe"
"tapiunattend.exe","c:\windows\syswow64\tapiunattend.exe"
"taskeng.exe","c:\windows\syswow64\taskeng.exe"
"taskkill.exe","c:\windows\syswow64\taskkill.exe"
"tasklist.exe","c:\windows\syswow64\tasklist.exe"
"taskmgr.exe","c:\windows\syswow64\taskmgr.exe"
"tcmsetup.exe","c:\windows\syswow64\tcmsetup.exe"
"tcpsvcs.exe","c:\windows\syswow64\tcpsvcs.exe"
"thumbnailextractionhost.exe","c:\windows\syswow64\thumbnailextractionhost.exe"
"timeout.exe","c:\windows\syswow64\timeout.exe"
"tpminit.exe","c:\windows\syswow64\tpminit.exe"
"tracerpt.exe","c:\windows\syswow64\tracerpt.exe"
"tracert.exe","c:\windows\syswow64\tracert.exe"
"tscon.exe","c:\windows\syswow64\tscon.exe"
"tsdiscon.exe","c:\windows\syswow64\tsdiscon.exe"
"tsecimp.exe","c:\windows\syswow64\tsecimp.exe"
"tskill.exe","c:\windows\syswow64\tskill.exe"
"tstheme.exe","c:\windows\syswow64\tstheme.exe"
"typeperf.exe","c:\windows\syswow64\typeperf.exe"
"tzutil.exe","c:\windows\syswow64\tzutil.exe"
"unlodctr.exe","c:\windows\syswow64\unlodctr.exe"
"upnpcont.exe","c:\windows\syswow64\upnpcont.exe"
"user.exe","c:\windows\syswow64\user.exe"
"useraccountbroker.exe","c:\windows\syswow64\useraccountbroker.exe"
"useraccountcontrolsettings.exe","c:\windows\syswow64\useraccountcontrolsettings.exe"
"userinit.exe","c:\windows\syswow64\userinit.exe"
"utilman.exe","c:\windows\syswow64\utilman.exe"
"verclsid.exe","c:\windows\syswow64\verclsid.exe"
"verifier.exe","c:\windows\syswow64\verifier.exe"
"vssadmin.exe","c:\windows\syswow64\vssadmin.exe"
"vssuirun.exe","c:\windows\syswow64\vssuirun.exe"
"w32tm.exe","c:\windows\syswow64\w32tm.exe"
"waitfor.exe","c:\windows\syswow64\waitfor.exe"
"wecutil.exe","c:\windows\syswow64\wecutil.exe"
"werfault.exe","c:\windows\syswow64\werfault.exe"
"werfaultsecure.exe","c:\windows\syswow64\werfaultsecure.exe"
"wermgr.exe","c:\windows\syswow64\wermgr.exe"
"wevtutil.exe","c:\windows\syswow64\wevtutil.exe"
"wextract.exe","c:\windows\syswow64\wextract.exe"
"where.exe","c:\windows\syswow64\where.exe"
"whoami.exe","c:\windows\syswow64\whoami.exe"
